word,freq
pbf,13
adesão,13
novos,13
instrumentos,13
temperatura,13
paa,12
traz,12
consumidor,12
demais,12
ensaio,12
entrevista,12
relevância,12
outro,12
reconhecimento,12
enteral,12
porém,12
capitalismo,12
vulneráveis,12
composição,12
analisa,12
agrária,12
teórica,12
paraná,12
determinantes,12
cidadania,12
intersetorial,12
categorias,12
cultural,12
novo,12
situações,12
brazilian,12
compromisso,12
conforme,12
from,12
with,12
narrativa,12
apresentaram,12
planejamento,12
analysis,12
entanto,12
fontes,12
una,12
possui,12
descritivo,12
inclusão,12
criança,12
intuito,12
cinco,12
valores,12
materiais,12
comunicação,12
agronegócio,12
nessa,12
amostras,12
oficinas,12
contextos,11
realizar,11
exemplo,11
envolvidos,11
primeira,11
seguida,11
ponto,11
objetiva,11
parceria,11
possibilidade,11
reforma,11
contribuições,11
pois,11
semiestruturadas,11
“,11
campos,11
regular,11
agroecológica,11
ods,11
ano,11
diversidade,11
adequate,11
básicos,11
grave,11
melhoria,11
palavraschave,11
projetos,11
rurais,11
efetiva,11
mecanismos,11
modos,11
brazil,11
diretrizes,11
nutritional,11
nutrientes,11
alimentícios,11
gêneros,11
trata,11
enfoque,11
infantil,11
possibilidades,11
frutas,11
efetividade,11
descrever,11
nutricionista,11
planos,11
bases,11
indicadores,11
mudança,11
adotada,10
ampla,10
constitui,10
envolve,10
exploratório,10
geral,10
estrutura,10
levantamento,10
serem,10
desnutrição,10
dar,10
verificar,10
bioética,10
entretanto,10
menos,10
inserção,10
alta,10
domiciliar,10
via,10
latina,10
participaram,10
bibliográfico,10
qualquer,10
graduação,10
buscando,10
toda,10
dever,10
fornecimento,10
utilizando,10
digna,10
precisam,10
integrativa,10
gestores,10
orgânica,10
apresentados,10
tempos,10
insecurity,10
perspectivas,10
comer,10
conjunto,10
alimentaria,10
representa,10
preços,10
coletivo,10
amamentação,10
aprendizagem,10
essenciais,10
ativas,10
municipais,10
ned,10
apontam,10
evolução,10
espaço,10
maioria,10
final,10
cotidiano,10
construir,10
olhar,10
cnsan,10
brasileiras,9
existentes,9
existência,9
apoio,9
miséria,9
teóricas,9
teórico,9
luz,9
ética,9
debates,9
destaque,9
diversas,9
regulação,9
áreas,9
expressão,9
mediante,9
obesidade,9
segunda,9
aspecto,9
estar,9
inicialmente,9
coleta,9
fórmulas,9
minas,9
possíveis,9
buscouse,9
considerado,9
cuja,9
científicos,9
retrocesso,9
partindo,9
evento,9
milhões,9
dedutivo,9
primária,9
formulação,9
identidade,9
interdisciplinar,9
suficiente,9
atualmente,9
mostrou,9
realizouse,9
cenários,9
disponíveis,9
investigação,9
are,9
autoras,9
discute,9
classe,9
observouse,9
regime,9
evidente,9
posteriormente,9
fato,9
moderada,9
territórios,9
tornase,9
bahia,9
produzidos,9
capacidade,9
maiores,9
national,9
caminho,9
janeiro,9
transição,9
nacionais,9
nova,9
diretamente,9
merendeiras,9
responsáveis,9
alcançar,9
concluiuse,9
baseado,9
responsável,9
verificouse,9
integração,9
meios,9
processados,9
ato,9
consumption,9
obra,9
trazer,9
vistas,9
leitura,9
reconhecer,9
relevantes,9
teóricos,9
instituições,9
merenda,9
riscos,9
garantindo,9
investimento,9
integral,9
valor,9
buscou,8
governamentais,8
março,8
avanço,8
destaca,8
investigar,8
dificuldades,8
globais,8
conquista,8
marco,8
orgânicos,8
relatórios,8
autores,8
capaz,8
conteúdos,8
faz,8
consea,8
etapa,8
considerar,8
analisadas,8
concretização,8
dessas,8
enfrentar,8
educativos,8
propõe,8
saber,8
básico,8
melhor,8
empresas,8
lógica,8
científica,8
have,8
its,8
system,8
aponta,8
associados,8
associações,8
moradores,8
refere,8
contribui,8
objetivou,8
con,8
has,8
seguridad,8
were,8
década,8
restaurantes,8
setores,8
noção,8
somente,8
study,8
termos,8
proposto,8
últimos,8
entidades,8
ciclo,8
gestantes,8
níveis,8
estaduais,8
central,8
total,8
discurso,8
judicialização,8
sujeito,8
mínimo,8
objeto,8
registros,8
ampliação,8
interesse,8
demonstrar,8
mental,8
conhecimentos,8
minimamente,8
caminhos,8
centros,8
norte,8
juntamente,8
liberdade,8
capazes,8
estimular,8
mostra,8
atos,8
alto,8
valorização,8
comunitários,8
viés,8
fundo,8
binômio,8
legais,8
consumidos,8
socioambiental,8
prevenção,8
preparações,8
pósgraduação,8
horas,8
−,8
trigo,8
embora,7
união,7
operacionalização,7
resposta,7
dificuldade,7
elemento,7
iniciativas,7
menor,7
escassez,7
recente,7
apresentase,7
declaração,7
preciso,7
adequação,7
terapia,7
indicam,7
material,7
pesticidas,7
relacionada,7
transgênicos,7
direta,7
extinção,7
tange,7
destes,7
teoria,7
titulares,7
destacando,7
evidenciando,7
socialmente,7
garantam,7
imprescindível,7
passou,7
sul,7
contribuindo,7
capital,7
proposições,7
ligadas,7
about,7
article,7
marcos,7
monitoring,7
public,7
research,7
trajetória,7
intersetorialidade,7
redes,7
razão,7
socioeconômicas,7
moradia,7
quilombolas,7
efetivas,7
selecionados,7
crescente,7
desenvolvida,7
estando,7
relevante,7
ambientes,7
transferência,7
ampliar,7
corpo,7
exercício,7
significados,7
retrocessos,7
utilizado,7
diminuição,7
equipamentos,7
políticos,7
urbana,7
direção,7
antes,7
based,7
nutrición,7
textos,7
relativos,7
avaliada,7
clubes,7
objetivouse,7
semiestruturada,7
pretendese,7
técnicos,7
amplo,7
problemática,7
identificação,7
inovação,7
indígena,7
xavante,7
considerados,7
igualdade,7
jurídica,7
bemestar,7
associadas,7
residentes,7
centrais,7
financiamento,7
santa,7
publicações,7
referentes,7
apresentadas,7
pretende,7
energia,7
guia,7
kits,7
utilizadas,7
descritiva,7
extrema,7
propostos,7
fenômeno,7
seres,7
promotoras,7
primeiro,7
sempre,7
chamada,7
identidades,7
desenho,7
incentivo,7
bairro,7
eou,7
equilibrado,7
metas,7
jesus,7
limites,7
sexual,7
escolha,7
solidariedade,7
pedagógicas,7
unidade,7
conselheiros,7
demandas,7
patrimônio,7
entrevistados,7
técnicas,7
análises,7
livro,7
manifesto,7
cardápio,7
baseada,7
onu,7
trabalhador,7
distrito,6
elevada,6
emergencial,6
problematizar,6
ressaltase,6
aborda,6
apresentada,6
considerações,6
sociedades,6
abrangente,6
adotadas,6
ativa,6
focal,6
transmissão,6
crônicas,6
expressões,6
percurso,6
virtude,6
fundamento,6
obrigações,6
baixo,6
